"Date","Price","Open","High","Low","Vol.","Change %"
"06/01/2024","1,840.01","1,827.27","1,874.97","1,797.50","","0.79%"
"05/01/2024","1,825.59","1,835.10","1,928.20","1,813.54","","-0.23%"
"04/01/2024","1,829.76","1,767.80","1,954.18","1,765.97","","3.49%"
"03/01/2024","1,768.08","1,619.13","1,771.29","1,613.07","","9.24%"
"02/01/2024","1,618.57","1,608.01","1,624.10","1,578.88","","0.69%"
"01/01/2024","1,607.49","1,620.26","1,639.86","1,578.46","","-0.76%"
"12/01/2023","1,619.88","1,613.37","1,662.39","1,571.68","","0.44%"
"11/01/2023","1,612.79","1,632.42","1,641.79","1,569.92","","-1.16%"
"10/01/2023","1,631.67","1,515.10","1,659.18","1,489.50","","7.71%"
"09/01/2023","1,514.89","1,530.71","1,577.66","1,513.73","","-0.99%"
"08/01/2023","1,530.05","1,530.79","1,537.34","1,478.24","","-0.01%"
"07/01/2023","1,530.17","1,513.28","1,539.19","1,488.06","","1.30%"
"06/01/2023","1,510.54","1,577.07","1,586.54","1,498.76","","-4.18%"
"05/01/2023","1,576.39","1,583.60","1,649.59","1,566.56","","-0.44%"
"04/01/2023","1,583.41","1,597.10","1,635.69","1,580.64","","-0.77%"
"03/01/2023","1,595.76","1,520.63","1,648.81","1,516.09","","5.03%"
"02/01/2023","1,519.27","1,565.22","1,592.67","1,491.24","","-2.87%"
"01/01/2023","1,564.15","1,508.33","1,577.77","1,507.39","","3.75%"
"12/01/2022","1,507.64","1,467.29","1,522.06","1,434.01","","2.84%"
"11/01/2022","1,466.01","1,423.95","1,512.54","1,422.15","","2.99%"
"10/01/2022","1,423.49","1,487.99","1,538.66","1,413.57","","-4.25%"
"09/01/2022","1,486.73","1,471.95","1,576.44","1,447.04","","1.08%"
"08/01/2022","1,470.87","1,451.89","1,491.94","1,437.47","","1.38%"
"07/01/2022","1,450.89","1,483.91","1,508.20","1,405.38","","-2.18%"
"06/01/2022","1,483.24","1,457.70","1,529.46","1,450.80","","1.77%"
"05/01/2022","1,457.39","1,506.98","1,542.77","1,448.13","","-3.36%"
"04/01/2022","1,508.10","1,474.32","1,532.82","1,460.10","","2.34%"
"03/01/2022","1,473.66","1,422.20","1,580.44","1,416.92","","3.66%"
"02/01/2022","1,421.66","1,336.59","1,473.91","1,315.16","","6.44%"
"01/01/2022","1,335.69","1,351.55","1,376.27","1,317.07","","-1.14%"
"12/01/2021","1,351.06","1,334.56","1,366.93","1,324.19","","1.32%"
"11/01/2021","1,333.47","1,303.41","1,395.99","1,287.82","","2.43%"
"10/01/2021","1,301.79","1,304.26","1,317.32","1,280.35","","-0.11%"
"09/01/2021","1,303.27","1,318.77","1,322.89","1,266.44","","-1.08%"
"08/01/2021","1,317.50","1,305.01","1,325.13","1,214.99","","1.01%"
"07/01/2021","1,304.27","1,280.07","1,343.77","1,277.71","","1.94%"
"06/01/2021","1,279.51","1,342.56","1,349.88","1,266.10","","-4.67%"
"05/01/2021","1,342.18","1,279.52","1,351.81","1,273.70","","4.86%"
"04/01/2021","1,279.92","1,239.08","1,293.67","1,236.94","","3.35%"
"03/01/2021","1,238.40","1,243.92","1,272.59","1,213.20","","-0.44%"
"02/01/2021","1,243.89","1,346.53","1,366.30","1,231.03","","-7.67%"
"01/01/2021","1,347.22","1,387.83","1,438.56","1,333.98","","-2.92%"
"12/01/2020","1,387.70","1,333.90","1,433.26","1,331.34","","4.08%"
"11/01/2020","1,333.28","1,451.38","1,493.35","1,322.57","","-8.12%"
"10/01/2020","1,451.13","1,459.94","1,489.73","1,437.79","","-0.54%"
"09/01/2020","1,459.07","1,472.21","1,531.56","1,438.77","","-0.81%"
"08/01/2020","1,471.05","1,509.01","1,578.83","1,432.01","","-2.52%"
"07/01/2020","1,509.13","1,436.09","1,535.70","1,389.48","","5.15%"
