"Date","Price","Open","High","Low","Vol.","Change %"
"06/28/2024","1,840.01","1,840.79","1,849.31","1,837.03","","-0.06%"
"06/27/2024","1,841.20","1,820.47","1,842.88","1,817.21","","1.21%"
"06/26/2024","1,819.12","1,828.41","1,832.84","1,815.57","","-0.48%"
"06/25/2024","1,827.97","1,839.96","1,841.75","1,825.52","","-0.56%"
"06/24/2024","1,838.22","1,835.76","1,843.69","1,832.92","","0.14%"
"06/21/2024","1,835.60","1,864.66","1,875.46","1,832.61","","-1.54%"
"06/20/2024","1,864.27","1,829.07","1,865.51","1,828.07","","1.95%"
"06/19/2024","1,828.57","1,832.89","1,834.82","1,826.14","","-0.20%"
"06/18/2024","1,832.26","1,825.67","1,836.43","1,818.22","","0.45%"
"06/17/2024","1,824.11","1,838.86","1,840.12","1,821.01","","-0.76%"
"06/14/2024","1,838.08","1,805.15","1,844.15","1,803.33","","1.84%"
"06/13/2024","1,804.80","1,815.06","1,818.34","1,799.66","","-0.55%"
"06/12/2024","1,814.73","1,818.65","1,821.98","1,806.74","","-0.18%"
"06/11/2024","1,817.95","1,814.98","1,823.28","1,804.02","","0.20%"
"06/10/2024","1,814.26","1,803.06","1,818.01","1,799.00","","0.68%"
"06/07/2024","1,801.92","1,857.82","1,867.06","1,797.21","","-2.98%"
"06/06/2024","1,857.31","1,841.42","1,860.76","1,839.40","","0.92%"
"06/05/2024","1,840.43","1,822.82","1,845.98","1,820.13","","1.02%"
"06/04/2024","1,821.76","1,835.68","1,837.48","1,812.61","","-0.69%"
"06/03/2024","1,834.49","1,827.82","1,842.27","1,817.56","","0.49%"
"05/31/2024","1,825.59","1,841.90","1,851.63","1,822.53","","-0.87%"
"05/30/2024","1,841.53","1,840.46","1,847.87","1,830.46","","0.08%"
"05/29/2024","1,840.12","1,848.45","1,852.19","1,831.79","","-0.54%"
"05/28/2024","1,850.05","1,841.18","1,850.92","1,832.19","","0.50%"
"05/27/2024","1,840.83","1,833.45","1,846.70","1,830.40","","0.50%"
"05/24/2024","1,831.60","1,834.98","1,844.77","1,829.95","","-0.11%"
"05/23/2024","1,833.59","1,870.47","1,874.04","1,832.80","","-1.94%"
"05/22/2024","1,869.82","1,905.74","1,908.03","1,867.73","","-1.83%"
"05/21/2024","1,904.60","1,909.48","1,914.61","1,893.46","","-0.23%"
"05/20/2024","1,909.07","1,901.64","1,928.47","1,895.98","","0.42%"
"05/17/2024","1,901.04","1,875.79","1,907.10","1,874.77","","1.40%"
"05/16/2024","1,874.87","1,880.92","1,888.48","1,871.96","","-0.30%"
"05/15/2024","1,880.60","1,872.65","1,885.79","1,864.18","","0.50%"
"05/14/2024","1,871.27","1,860.07","1,874.36","1,858.87","","0.52%"
"05/13/2024","1,861.56","1,885.09","1,888.33","1,858.16","","-1.21%"
"05/10/2024","1,884.34","1,873.53","1,897.97","1,871.73","","0.60%"
"05/09/2024","1,873.12","1,848.07","1,874.55","1,846.32","","1.45%"
"05/08/2024","1,846.39","1,850.04","1,859.44","1,846.66","","-0.30%"
"05/07/2024","1,851.91","1,852.21","1,854.04","1,841.36","","-0.01%"
"05/06/2024","1,852.14","1,829.75","1,853.64","1,827.04","","0.96%"
"05/03/2024","1,834.61","1,837.78","1,845.76","1,813.54","","-0.11%"
"05/02/2024","1,836.72","1,851.46","1,857.05","1,827.96","","-0.77%"
"05/01/2024","1,851.02","1,830.06","1,856.59","1,827.92","","1.16%"
"04/30/2024","1,829.76","1,859.47","1,861.32","1,828.95","","-1.55%"
"04/29/2024","1,858.58","1,871.72","1,873.53","1,853.10","","-0.66%"
"04/26/2024","1,870.96","1,863.63","1,879.31","1,860.63","","0.43%"
"04/25/2024","1,863.04","1,858.23","1,876.69","1,849.26","","0.30%"
"04/24/2024","1,857.52","1,865.19","1,879.34","1,856.27","","-0.38%"
"04/23/2024","1,864.59","1,884.36","1,890.20","1,853.73","","-1.02%"
"04/22/2024","1,883.88","1,933.00","1,933.63","1,881.11","","-2.51%"
"04/19/2024","1,932.44","1,913.09","1,949.68","1,906.76","","1.03%"
"04/18/2024","1,912.70","1,895.05","1,920.58","1,893.32","","0.99%"
"04/17/2024","1,893.87","1,917.59","1,923.49","1,890.83","","-1.20%"
"04/16/2024","1,916.95","1,914.59","1,929.06","1,897.90","","0.18%"
"04/15/2024","1,913.55","1,882.39","1,919.25","1,866.14","","1.70%"
"04/12/2024","1,881.48","1,889.91","1,954.18","1,875.36","","-0.40%"
"04/11/2024","1,888.98","1,860.91","1,894.35","1,852.83","","1.54%"
"04/10/2024","1,860.28","1,856.05","1,871.83","1,842.59","","0.27%"
"04/09/2024","1,855.35","1,848.37","1,867.84","1,844.96","","0.41%"
"04/08/2024","1,847.78","1,843.45","1,863.01","1,824.88","","0.27%"
"04/05/2024","1,842.89","1,811.54","1,844.61","1,794.35","","1.75%"
"04/04/2024","1,811.19","1,817.42","1,822.13","1,802.84","","-0.30%"
"04/03/2024","1,816.64","1,812.88","1,819.43","1,801.78","","0.22%"
"04/02/2024","1,812.68","1,794.21","1,813.91","1,790.35","","1.06%"
"04/01/2024","1,793.67","1,767.80","1,795.01","1,765.97","","1.45%"
"03/29/2024","1,768.08","1,769.86","1,770.88","1,765.56","","-0.05%"
"03/28/2024","1,769.04","1,736.36","1,771.29","1,732.76","","1.92%"
"03/27/2024","1,735.68","1,725.58","1,739.78","1,722.95","","0.62%"
"03/26/2024","1,724.95","1,718.83","1,737.74","1,714.62","","0.40%"
"03/25/2024","1,718.12","1,718.64","1,726.76","1,716.36","","0.03%"
"03/22/2024","1,717.56","1,723.34","1,728.10","1,712.71","","-0.30%"
"03/21/2024","1,722.78","1,709.88","1,738.06","1,709.26","","0.79%"
"03/20/2024","1,709.25","1,695.92","1,712.83","1,693.09","","0.82%"
"03/19/2024","1,695.31","1,697.05","1,701.87","1,691.28","","-0.08%"
"03/18/2024","1,696.60","1,693.18","1,698.80","1,684.96","","0.30%"
"03/15/2024","1,691.55","1,695.78","1,704.16","1,691.29","","-0.20%"
"03/14/2024","1,694.90","1,698.96","1,700.98","1,688.31","","-0.18%"
"03/13/2024","1,697.98","1,687.22","1,702.59","1,684.64","","0.66%"
"03/12/2024","1,686.83","1,703.48","1,705.44","1,681.49","","-0.94%"
"03/11/2024","1,702.89","1,692.91","1,708.13","1,692.58","","0.58%"
"03/08/2024","1,693.11","1,686.73","1,708.54","1,681.59","","0.44%"
"03/07/2024","1,685.71","1,686.01","1,697.61","1,680.81","","-0.07%"
"03/06/2024","1,686.90","1,674.94","1,689.08","1,669.36","","0.76%"
"03/05/2024","1,674.19","1,665.85","1,687.92","1,662.51","","0.54%"
"03/04/2024","1,665.19","1,646.37","1,669.79","1,641.39","","1.14%"
"03/01/2024","1,646.43","1,619.13","1,649.70","1,613.07","","1.72%"
"02/29/2024","1,618.57","1,606.74","1,622.60","1,602.99","","0.78%"
"02/28/2024","1,606.06","1,600.52","1,612.09","1,599.85","","0.38%"
"02/27/2024","1,599.97","1,600.94","1,608.11","1,599.49","","-0.03%"
"02/26/2024","1,600.43","1,607.42","1,607.84","1,596.65","","-0.37%"
"02/23/2024","1,606.34","1,598.98","1,609.72","1,592.32","","0.50%"
"02/22/2024","1,598.37","1,603.16","1,606.31","1,595.91","","-0.25%"
"02/21/2024","1,602.41","1,603.76","1,609.45","1,600.34","","-0.03%"
"02/20/2024","1,602.93","1,601.67","1,610.77","1,600.20","","0.13%"
"02/19/2024","1,600.78","1,597.52","1,603.78","1,595.67","","0.21%"
"02/16/2024","1,597.45","1,591.11","1,599.25","1,588.34","","0.47%"
"02/15/2024","1,589.99","1,585.57","1,596.15","1,583.81","","0.31%"
"02/14/2024","1,585.14","1,582.82","1,589.74","1,578.88","","0.18%"
"02/13/2024","1,582.27","1,599.51","1,604.06","1,579.97","","-1.04%"
"02/12/2024","1,598.89","1,603.54","1,608.32","1,594.13","","-0.24%"
"02/09/2024","1,602.66","1,611.76","1,614.01","1,599.06","","-0.56%"
"02/08/2024","1,611.71","1,611.93","1,615.01","1,604.99","","0.03%"
