"Date","Price","Open","High","Low","Vol.","Change %"
"06/01/2024","374,271","366,115","376,570","358,354","","2.25%"
"05/01/2024","366,045","361,495","381,486","347,383","","1.49%"
"04/01/2024","360,688","337,872","372,671","337,660","","6.75%"
"03/01/2024","337,870","306,581","338,470","306,473","","10.23%"
"02/01/2024","306,524","299,711","307,187","297,993","","2.31%"
"01/01/2024","299,598","290,507","301,910","290,507","","2.97%"
"12/01/2023","290,949","301,841","309,087","286,631","","-3.58%"
"11/01/2023","301,760","300,938","302,368","291,815","","0.32%"
"10/01/2023","300,806","276,317","303,411","269,434","","8.97%"
"09/01/2023","276,046","282,352","287,727","275,951","","-2.21%"
"08/01/2023","282,277","279,620","284,374","273,693","","0.99%"
"07/01/2023","279,522","277,166","280,864","269,257","","0.90%"
"06/01/2023","277,035","273,378","277,983","271,507","","1.36%"
"05/01/2023","273,316","271,231","278,983","269,590","","0.81%"
"04/01/2023","271,115","261,868","271,632","260,122","","3.71%"
"03/01/2023","261,422","249,014","264,412","247,287","","5.07%"
"02/01/2023","248,807","250,881","252,491","242,733","","-0.81%"
"01/01/2023","250,849","239,264","252,750","237,329","","4.87%"
"12/01/2022","239,197","244,228","248,464","236,320","","-1.98%"
"11/01/2022","244,018","242,919","252,407","239,236","","0.48%"
"10/01/2022","242,848","240,042","249,695","239,984","","1.08%"
"09/01/2022","240,255","237,760","248,051","233,543","","1.11%"
"08/01/2022","237,606","235,305","243,025","231,344","","1.04%"
"07/01/2022","235,158","245,259","247,102","233,079","","-4.09%"
"06/01/2022","245,187","236,414","253,164","236,206","","3.73%"
"05/01/2022","236,371","246,162","248,021","231,077","","-4.00%"
"04/01/2022","246,214","235,672","254,309","234,921","","4.50%"
"03/01/2022","235,603","219,533","241,360","218,997","","7.37%"
"02/01/2022","219,434","206,916","226,485","205,396","","6.11%"
"01/01/2022","206,808","210,483","211,766","205,235","","-1.71%"
"12/01/2021","210,411","200,866","210,639","199,167","","4.86%"
"11/01/2021","200,667","203,262","214,517","200,152","","-1.27%"
"10/01/2021","203,240","195,568","206,192","194,278","","4.00%"
"09/01/2021","195,422","199,614","201,159","191,508","","-2.01%"
"08/01/2021","199,424","198,997","200,055","185,780","","0.24%"
"07/01/2021","198,951","196,688","201,710","196,074","","1.19%"
"06/01/2021","196,613","209,051","209,842","193,629","","-5.95%"
"05/01/2021","209,050","193,311","209,630","193,081","","8.17%"
"04/01/2021","193,254","189,113","194,360","188,431","","2.25%"
"03/01/2021","188,994","184,773","191,461","182,023","","2.29%"
"02/01/2021","184,755","193,282","196,176","183,124","","-4.40%"
"01/01/2021","193,249","195,972","201,565","188,126","","-1.38%"
"12/01/2020","195,959","185,330","197,282","185,213","","5.78%"
"11/01/2020","185,245","196,491","203,447","183,333","","-5.76%"
"10/01/2020","196,565","198,902","204,404","194,037","","-1.10%"
"09/01/2020","198,757","208,442","211,006","194,666","","-4.59%"
"08/01/2020","208,326","209,218","218,811","199,062","","-0.35%"
"07/01/2020","209,054","192,221","209,322","187,748","","8.82%"
