"Date","Price","Open","High","Low","Vol.","Change %"
"06/23/2024","374,271","371,073","375,409","368,209","","0.86%"
"06/16/2024","371,091","367,121","376,570","364,344","","1.10%"
"06/09/2024","367,069","359,543","367,501","358,919","","2.17%"
"06/02/2024","359,275","366,115","371,611","358,337","","-1.85%"
"05/26/2024","366,045","366,532","371,545","364,500","","-0.09%"
"05/19/2024","366,358","375,828","381,532","365,161","","-2.53%"
"05/12/2024","375,878","367,617","377,135","364,312","","2.27%"
"05/05/2024","367,521","352,039","370,441","351,721","","4.34%"
"04/28/2024","352,241","369,131","371,936","347,280","","-4.81%"
"04/21/2024","370,056","369,841","370,319","354,742","","0.07%"
"04/14/2024","369,781","358,821","372,671","358,587","","2.96%"
"04/07/2024","359,164","353,110","371,849","349,320","","1.70%"
"03/31/2024","353,162","337,872","353,315","337,660","","4.53%"
"03/24/2024","337,870","327,928","338,470","327,234","","3.06%"
"03/17/2024","327,823","321,243","335,913","319,764","","2.06%"
"03/10/2024","321,219","320,285","323,220","317,665","","0.30%"
"03/03/2024","320,246","312,766","323,026","312,119","","2.40%"
"02/25/2024","312,738","306,360","313,513","304,198","","2.08%"
"02/18/2024","306,376","302,206","306,975","301,917","","1.32%"
"02/11/2024","302,388","302,142","303,257","298,968","","0.06%"
"02/04/2024","302,207","302,466","304,122","299,133","","-0.09%"
"01/28/2024","302,466","299,001","302,621","297,993","","1.15%"
"01/21/2024","299,037","300,950","301,415","295,885","","-0.53%"
"01/14/2024","300,623","296,935","301,910","296,666","","1.27%"
"01/07/2024","296,859","295,840","298,300","291,263","","0.34%"
"12/31/2023","295,840","290,507","297,802","290,507","","1.68%"
"12/24/2023","290,949","292,400","296,429","290,631","","-0.48%"
"12/17/2023","292,364","286,905","294,460","286,794","","1.91%"
"12/10/2023","286,886","290,231","292,379","286,631","","-1.19%"
"12/03/2023","290,351","304,112","309,087","287,708","","-4.50%"
"11/26/2023","304,029","299,258","304,424","298,314","","1.62%"
"11/19/2023","299,174","296,355","299,591","291,815","","0.99%"
"11/12/2023","296,249","293,492","299,256","292,708","","0.96%"
"11/05/2023","293,424","297,634","298,204","293,040","","-1.40%"
"10/29/2023","297,588","300,132","303,411","296,882","","-0.84%"
"10/22/2023","300,096","296,808","300,510","292,683","","1.12%"
"10/15/2023","296,772","288,947","299,341","285,373","","2.69%"
"10/08/2023","288,989","273,216","289,252","273,106","","5.63%"
"10/01/2023","273,599","276,317","276,545","269,434","","-0.89%"
"09/24/2023","276,046","285,647","286,681","275,951","","-3.35%"
"09/17/2023","285,610","284,237","287,727","282,558","","0.43%"
"09/10/2023","284,383","282,120","285,412","280,114","","0.27%"
"09/03/2023","283,609","283,635","285,119","281,970","","0.01%"
"08/27/2023","283,568","280,412","284,374","280,242","","1.16%"
"08/20/2023","280,318","274,602","280,558","274,070","","2.09%"
"08/13/2023","274,573","277,454","278,048","273,693","","-1.00%"
"08/06/2023","277,355","275,490","277,967","274,554","","0.73%"
"07/30/2023","275,348","276,286","280,864","274,679","","-0.43%"
"07/23/2023","276,541","277,912","278,300","269,929","","-0.55%"
"07/16/2023","278,062","271,311","278,792","270,243","","2.53%"
"07/09/2023","271,207","273,801","275,053","269,257","","-0.85%"
"07/02/2023","273,531","277,166","279,242","273,401","","-1.26%"
"06/25/2023","277,035","275,877","277,539","274,104","","0.40%"
"06/18/2023","275,922","277,633","277,983","272,989","","-0.58%"
"06/11/2023","277,540","273,372","277,932","271,507","","1.59%"
"06/04/2023","273,189","272,704","274,722","271,661","","0.24%"
"05/28/2023","272,546","273,858","276,021","271,528","","-0.42%"
"05/21/2023","273,684","272,987","275,103","270,574","","0.33%"
"05/14/2023","272,781","272,757","275,122","270,497","","-0.03%"
"05/07/2023","272,853","271,904","275,719","269,674","","0.28%"
"04/30/2023","272,079","271,231","278,983","269,590","","0.36%"
"04/23/2023","271,115","265,944","271,632","264,825","","1.92%"
"04/16/2023","266,006","268,235","270,363","264,910","","-0.76%"
"04/09/2023","268,034","265,356","271,228","263,667","","1.02%"
"04/02/2023","265,319","261,868","266,958","260,122","","1.49%"
"03/26/2023","261,422","258,154","264,412","255,493","","1.13%"
"03/19/2023","258,497","263,537","263,646","256,335","","-1.33%"
"03/12/2023","261,982","252,167","262,433","250,274","","3.90%"
"03/05/2023","252,145","252,077","252,447","247,287","","0.05%"
"02/26/2023","252,019","247,216","252,273","246,325","","1.98%"
"02/19/2023","247,125","247,069","248,719","244,811","","0.05%"
"02/12/2023","246,990","245,053","247,471","244,240","","0.81%"
"02/05/2023","245,013","246,474","248,685","242,733","","0.13%"
"01/29/2023","244,700","250,101","252,491","243,976","","-2.22%"
"01/22/2023","250,264","249,551","252,750","249,042","","0.25%"
"01/15/2023","249,646","245,499","251,529","243,861","","1.67%"
"01/08/2023","245,556","246,181","250,194","243,358","","-0.34%"
"01/01/2023","246,402","239,264","247,944","237,329","","3.01%"
"12/25/2022","239,197","238,768","244,226","237,829","","0.19%"
"12/18/2022","238,747","243,867","245,650","236,320","","-2.55%"
"12/11/2022","244,995","245,458","248,464","241,480","","-0.14%"
"12/04/2022","245,346","241,923","246,262","241,248","","1.62%"
"11/27/2022","241,445","244,734","245,882","239,732","","-1.16%"
"11/20/2022","244,279","245,755","247,707","242,382","","-0.53%"
"11/13/2022","245,576","245,365","249,432","244,806","","-0.08%"
"11/06/2022","245,783","247,391","252,407","243,950","","-0.25%"
"10/30/2022","246,399","242,742","246,871","239,236","","1.64%"
"10/23/2022","242,430","244,613","248,112","241,615","","-0.88%"
"10/16/2022","244,594","243,762","248,807","241,446","","0.05%"
"10/09/2022","244,465","246,346","247,223","241,723","","-0.69%"
"10/02/2022","246,159","240,042","249,695","239,984","","2.46%"
"09/25/2022","240,255","235,755","242,410","233,543","","2.00%"
"09/18/2022","235,545","239,512","242,416","234,297","","-1.60%"
"09/11/2022","239,370","244,087","247,225","237,050","","-2.15%"
"09/04/2022","244,620","240,042","248,051","239,673","","1.93%"
"08/28/2022","239,997","239,225","241,683","236,354","","0.49%"
"08/21/2022","238,830","239,272","241,085","236,854","","-0.05%"
"08/14/2022","238,941","240,513","240,859","235,638","","-0.65%"
"08/07/2022","240,500","239,672","243,025","236,583","","0.41%"
"07/31/2022","239,509","235,305","240,763","231,344","","1.85%"
"07/24/2022","235,158","235,064","237,599","233,883","","0.13%"
"07/17/2022","234,862","236,605","238,361","233,079","","-0.71%"
"07/10/2022","236,531","237,068","239,662","235,038","","-0.23%"
"07/03/2022","237,077","245,098","247,102","234,945","","-3.14%"
"06/26/2022","244,762","246,880","250,716","241,142","","-0.86%"
"06/19/2022","246,877","248,254","251,135","244,909","","-0.54%"
"06/12/2022","248,221","251,496","253,164","241,071","","-1.31%"
"06/05/2022","251,517","242,232","251,935","241,727","","3.86%"
"05/29/2022","242,173","235,544","243,530","234,843","","2.81%"
"05/22/2022","235,561","236,237","238,102","233,423","","-0.20%"
"05/15/2022","236,029","234,202","237,691","231,077","","0.90%"
"05/08/2022","233,923","245,836","246,555","232,329","","-4.84%"
"05/01/2022","245,830","246,162","248,021","240,705","","-0.16%"
"04/24/2022","246,214","248,283","250,040","241,199","","-0.82%"
"04/17/2022","248,249","249,666","254,309","247,711","","-0.49%"
"04/10/2022","249,483","241,517","250,186","241,400","","3.08%"
"04/03/2022","242,030","236,109","242,633","234,921","","2.68%"
"03/27/2022","235,716","238,866","241,360","231,740","","-1.34%"
"03/20/2022","238,929","228,989","240,494","228,626","","4.38%"
"03/13/2022","228,901","232,999","233,564","225,265","","-1.69%"
"03/06/2022","232,835","226,061","239,439","225,978","","3.05%"
"02/27/2022","225,939","217,081","226,396","217,052","","3.58%"
"02/20/2022","218,127","218,163","226,485","216,970","","-0.06%"
"02/13/2022","218,255","214,476","218,801","213,324","","1.68%"
"02/06/2022","214,658","208,313","214,980","208,138","","3.09%"
"01/30/2022","208,223","206,424","208,728","205,396","","0.88%"
"01/23/2022","206,399","208,424","211,220","205,235","","-0.96%"
"01/16/2022","208,403","207,573","210,921","207,025","","0.42%"
"01/09/2022","207,526","207,699","210,310","206,248","","0.02%"
"01/02/2022","207,485","210,483","211,766","206,611","","-1.39%"
"12/26/2021","210,411","206,854","210,639","205,511","","1.71%"
"12/19/2021","206,866","204,320","208,943","203,170","","1.23%"
"12/12/2021","204,343","201,958","205,795","199,938","","1.11%"
"12/05/2021","202,101","201,199","203,455","200,937","","0.45%"
"11/28/2021","201,205","203,140","204,313","199,167","","-0.89%"
"11/21/2021","203,012","210,316","211,147","201,822","","-3.47%"
