"Date","Price","Open","High","Low","Vol.","Change %"
"06/28/2024","374,271","374,040","375,409","373,095","","0.05%"
"06/27/2024","374,079","369,207","374,527","368,428","","1.32%"
"06/26/2024","369,188","370,556","371,670","368,209","","-0.31%"
"06/25/2024","370,343","372,399","372,683","369,847","","-0.53%"
"06/24/2024","372,304","371,073","372,818","369,378","","0.36%"
"06/21/2024","370,980","375,055","376,607","369,638","","-1.07%"
"06/20/2024","375,001","367,792","375,499","367,490","","1.97%"
"06/19/2024","367,743","367,756","368,548","366,889","","0.03%"
"06/18/2024","367,631","365,781","368,148","364,735","","0.58%"
"06/17/2024","365,526","367,121","367,519","364,287","","-0.42%"
"06/14/2024","367,069","361,738","367,501","361,336","","1.49%"
"06/13/2024","361,689","364,061","365,448","359,890","","-0.64%"
"06/12/2024","364,015","363,950","365,794","361,838","","0.01%"
"06/11/2024","363,992","362,877","364,523","361,174","","0.36%"
"06/10/2024","362,702","359,543","363,341","358,919","","0.95%"
"06/07/2024","359,275","369,779","371,611","358,337","","-2.82%"
"06/06/2024","369,685","367,544","370,978","366,439","","0.62%"
"06/05/2024","367,416","360,323","368,189","360,059","","2.00%"
"06/04/2024","360,203","367,006","367,885","358,753","","-1.79%"
"06/03/2024","366,775","366,115","367,509","364,065","","0.20%"
"05/31/2024","366,045","367,785","370,377","364,898","","-0.45%"
"05/30/2024","367,691","368,530","368,816","364,500","","-0.22%"
"05/29/2024","368,484","371,123","371,545","367,034","","-0.69%"
"05/28/2024","371,047","368,813","371,291","367,173","","0.63%"
"05/27/2024","368,737","366,532","369,812","365,991","","0.65%"
"05/24/2024","366,358","365,497","368,764","365,161","","0.24%"
"05/23/2024","365,465","372,942","373,685","365,257","","-1.98%"
"05/22/2024","372,835","378,233","379,151","371,949","","-1.37%"
"05/21/2024","378,030","379,112","380,707","376,091","","-0.27%"
"05/20/2024","379,044","375,828","381,532","375,671","","0.84%"
"05/17/2024","375,878","369,256","377,135","369,165","","1.82%"
"05/16/2024","369,162","369,560","370,128","367,501","","-0.09%"
"05/15/2024","369,478","368,855","370,113","366,317","","0.21%"
"05/14/2024","368,690","364,942","369,228","364,670","","1.04%"
"05/13/2024","364,879","367,617","368,717","364,312","","-0.72%"
"05/10/2024","367,521","364,796","370,441","364,243","","0.76%"
"05/09/2024","364,751","358,952","364,953","358,241","","1.65%"
"05/08/2024","358,817","357,999","360,881","357,518","","0.24%"
"05/07/2024","357,971","357,646","359,404","356,331","","0.12%"
"05/06/2024","357,559","352,039","358,496","351,721","","1.51%"
"05/03/2024","352,241","353,964","354,339","347,280","","-0.43%"
"05/02/2024","353,764","358,300","363,179","352,465","","-1.25%"
"05/01/2024","358,238","360,770","365,944","355,303","","-0.68%"
"04/30/2024","360,688","365,175","366,711","360,639","","-1.20%"
"04/29/2024","365,079","369,131","371,936","361,041","","-1.34%"
"04/26/2024","370,056","363,011","370,319","362,042","","1.97%"
"04/25/2024","362,912","359,780","364,768","358,403","","0.89%"
"04/24/2024","359,703","359,553","362,282","357,925","","0.06%"
"04/23/2024","359,483","360,351","361,370","354,742","","-0.21%"
"04/22/2024","360,249","369,841","369,901","359,979","","-2.58%"
"04/19/2024","369,781","367,947","372,671","366,794","","0.53%"
"04/18/2024","367,837","364,336","369,510","364,051","","1.00%"
"04/17/2024","364,212","368,670","370,659","363,565","","-1.19%"
"04/16/2024","368,580","367,634","370,773","364,781","","0.31%"
"04/15/2024","367,446","358,821","368,178","358,587","","2.31%"
"04/12/2024","359,164","363,644","371,849","357,623","","-1.21%"
"04/11/2024","363,555","357,469","364,386","356,494","","1.74%"
"04/10/2024","357,324","357,141","359,286","353,708","","0.08%"
"04/09/2024","357,053","355,090","359,220","354,711","","0.57%"
"04/08/2024","355,020","353,110","357,140","349,320","","0.53%"
"04/05/2024","353,162","346,641","353,315","342,320","","1.91%"
"04/04/2024","346,556","348,845","349,272","344,758","","-0.62%"
"04/03/2024","348,707","345,580","349,087","343,987","","0.92%"
"04/02/2024","345,532","341,530","345,812","340,600","","1.21%"
"04/01/2024","341,409","337,872","342,960","337,660","","1.05%"
"03/29/2024","337,870","338,092","338,307","337,548","","-0.07%"
"03/28/2024","338,099","332,122","338,470","330,966","","1.83%"
"03/27/2024","332,034","330,245","332,236","329,509","","0.57%"
"03/26/2024","330,142","328,873","332,787","328,024","","0.41%"
"03/25/2024","328,791","327,928","329,982","327,234","","0.30%"
"03/22/2024","327,823","330,786","331,304","326,550","","-0.85%"
"03/21/2024","330,641","330,681","335,913","328,560","","0.02%"
"03/20/2024","330,579","325,533","331,109","325,285","","1.59%"
"03/19/2024","325,401","322,211","325,719","322,043","","1.01%"
"03/18/2024","322,155","321,243","322,746","319,764","","0.29%"
"03/15/2024","321,219","320,772","323,220","320,413","","0.18%"
"03/14/2024","320,645","321,293","321,489","319,226","","-0.17%"
"03/13/2024","321,192","318,739","321,600","317,813","","0.79%"
"03/12/2024","318,669","320,758","321,415","317,665","","-0.63%"
"03/11/2024","320,685","320,285","321,351","319,160","","0.14%"
"03/08/2024","320,246","319,828","323,026","317,920","","0.18%"
"03/07/2024","319,655","320,861","321,183","318,126","","-0.37%"
"03/06/2024","320,836","319,289","321,272","318,029","","0.51%"
"03/05/2024","319,194","318,255","321,740","317,480","","0.32%"
"03/04/2024","318,189","312,766","319,007","312,119","","1.74%"
"03/01/2024","312,738","306,581","313,513","306,473","","2.03%"
"02/29/2024","306,524","306,583","306,963","304,198","","0.02%"
"02/28/2024","306,475","305,596","307,187","305,144","","0.31%"
"02/27/2024","305,521","306,063","306,522","305,353","","-0.17%"
"02/26/2024","306,040","306,360","306,693","305,194","","-0.11%"
"02/23/2024","306,376","304,716","306,975","303,834","","0.56%"
"02/22/2024","304,655","304,509","305,508","304,144","","0.07%"
"02/21/2024","304,433","303,662","304,800","303,373","","0.28%"
"02/20/2024","303,582","302,751","304,656","302,630","","0.30%"
"02/19/2024","302,672","302,206","303,440","301,917","","0.09%"
"02/16/2024","302,388","300,437","302,718","300,256","","0.68%"
"02/15/2024","300,351","299,967","300,988","298,990","","0.15%"
"02/14/2024","299,899","300,552","300,883","298,968","","-0.20%"
"02/13/2024","300,505","301,691","303,257","299,559","","-0.36%"
"02/12/2024","301,605","302,142","302,375","300,603","","-0.20%"
"02/09/2024","302,207","303,801","304,122","301,736","","-0.49%"
"02/08/2024","303,693","301,599","303,894","301,254","","0.72%"
"02/07/2024","301,522","301,241","302,108","300,642","","0.12%"
"02/06/2024","301,166","301,106","302,001","300,587","","0.05%"
"02/05/2024","301,026","302,466","303,449","299,133","","-0.48%"
"02/02/2024","302,466","301,035","302,621","299,667","","0.55%"
"02/01/2024","300,804","299,711","301,630","297,993","","0.40%"
"01/31/2024","299,598","300,664","301,603","298,654","","-0.33%"
"01/30/2024","300,598","299,847","301,859","299,069","","0.28%"
"01/29/2024","299,751","299,001","301,527","298,742","","0.24%"
"01/26/2024","299,037","298,330","299,263","297,982","","0.28%"
"01/25/2024","298,196","297,075","298,506","296,900","","0.39%"
"01/24/2024","297,035","301,091","301,195","295,885","","-1.29%"
"01/23/2024","300,923","299,423","301,415","298,761","","0.53%"
"01/22/2024","299,338","300,950","301,028","298,337","","-0.43%"
"01/19/2024","300,623","299,677","301,910","299,289","","0.32%"
"01/18/2024","299,671","297,235","299,842","296,825","","0.84%"
"01/17/2024","297,165","298,573","299,851","296,896","","-0.44%"
"01/16/2024","298,466","299,455","299,821","297,795","","-0.31%"
"01/15/2024","299,401","296,935","300,032","296,666","","0.86%"
"01/12/2024","296,859","294,892","298,300","294,603","","0.69%"
"01/11/2024","294,827","295,029","297,144","293,831","","-0.06%"
"01/10/2024","295,002","293,322","295,531","292,916","","0.60%"
"01/09/2024","293,244","292,508","293,884","291,539","","0.30%"
"01/08/2024","292,378","295,840","296,321","291,263","","-1.17%"
"01/05/2024","295,840","295,522","297,802","294,742","","0.14%"
"01/04/2024","295,428","292,524","295,973","291,825","","1.02%"
"01/03/2024","292,453","292,339","294,196","291,229","","0.07%"
"01/02/2024","292,250","290,600","294,235","290,528","","0.58%"
"01/01/2024","290,557","290,507","290,641","290,507","","-0.13%"
"12/29/2023","290,949","292,100","293,343","290,631","","-0.36%"
"12/28/2023","291,997","294,702","295,435","291,570","","-0.90%"
"12/27/2023","294,644","294,459","296,429","293,920","","0.13%"
"12/26/2023","294,270","292,215","294,669","291,967","","0.70%"
"12/25/2023","292,220","292,400","292,708","291,825","","-0.05%"
"12/22/2023","292,364","290,758","294,352","290,697","","0.58%"
"12/21/2023","290,674","291,814","292,026","289,978","","-0.27%"
"12/20/2023","291,454","293,467","294,033","291,201","","-0.66%"
"12/19/2023","293,382","289,321","294,460","288,487","","1.48%"
"12/18/2023","289,101","286,905","290,694","286,794","","0.77%"
"12/15/2023","286,886","288,890","289,874","286,739","","-0.68%"
"12/14/2023","288,846","289,730","290,641","286,631","","-0.28%"
"12/13/2023","289,669","287,930","290,010","287,325","","0.63%"
"12/12/2023","287,844","289,685","290,058","287,831","","-0.60%"
"12/11/2023","289,580","290,231","292,379","289,161","","-0.27%"
"12/08/2023","290,351","292,340","294,449","289,063","","-0.65%"
"12/07/2023","292,252","298,402","298,656","287,708","","-2.03%"
"12/06/2023","298,317","297,159","299,295","296,907","","0.43%"
"12/05/2023","297,053","298,772","300,243","295,946","","-0.53%"
"12/04/2023","298,638","304,112","309,087","297,292","","-1.77%"
"12/01/2023","304,029","301,841","304,424","301,435","","0.75%"
"11/30/2023","301,760","301,007","302,368","300,012","","0.28%"
"11/29/2023","300,928","300,983","301,715","300,247","","0.01%"
"11/28/2023","300,897","299,652","301,382","298,314","","0.44%"
"11/27/2023","299,566","299,258","301,198","298,842","","0.13%"
"11/24/2023","299,174","297,993","299,591","297,301","","0.43%"
"11/23/2023","297,892","297,637","298,410","297,130","","0.12%"
"11/22/2023","297,546","296,577","299,105","295,716","","0.37%"
"11/21/2023","296,452","293,470","296,954","292,853","","1.05%"
"11/20/2023","293,385","296,355","296,585","291,815","","-0.97%"
"11/17/2023","296,249","298,726","299,256","296,179","","-0.77%"
"11/16/2023","298,547","296,599","298,987","295,857","","0.68%"
"11/15/2023","296,535","295,203","297,216","295,047","","0.46%"
"11/14/2023","295,169","295,296","297,233","294,768","","0.00%"
"11/13/2023","295,180","293,492","295,487","292,708","","0.60%"
"11/10/2023","293,424","296,431","296,753","293,040","","-0.99%"
"11/09/2023","296,354","294,443","297,017","293,589","","0.68%"
"11/08/2023","294,357","296,108","296,807","294,152","","-0.55%"
