"Date","Price","Open","High","Low","Vol.","Change %"
"06/23/2024","1,840.01","1,836.49","1,849.31","1,815.76","","0.21%"
"06/16/2024","1,836.13","1,839.45","1,874.97","1,818.43","","-0.11%"
"06/09/2024","1,838.08","1,803.06","1,844.15","1,799.00","","2.01%"
"06/02/2024","1,801.92","1,827.82","1,867.06","1,797.21","","-1.30%"
"05/26/2024","1,825.59","1,833.45","1,852.19","1,822.53","","-0.33%"
"05/19/2024","1,831.60","1,901.64","1,928.47","1,829.95","","-3.65%"
"05/12/2024","1,901.04","1,884.95","1,907.10","1,857.74","","0.89%"
"05/05/2024","1,884.34","1,835.40","1,897.97","1,826.73","","2.70%"
"04/28/2024","1,834.83","1,871.72","1,873.53","1,811.74","","-1.93%"
"04/21/2024","1,870.96","1,933.00","1,933.63","1,849.26","","-3.18%"
"04/14/2024","1,932.44","1,882.39","1,949.68","1,866.14","","2.71%"
"04/07/2024","1,881.48","1,843.45","1,954.18","1,824.88","","2.09%"
"03/31/2024","1,842.89","1,767.80","1,844.61","1,765.97","","4.23%"
"03/24/2024","1,768.08","1,718.64","1,771.29","1,714.62","","2.94%"
"03/17/2024","1,717.56","1,693.18","1,738.06","1,684.96","","1.54%"
"03/10/2024","1,691.55","1,692.91","1,708.13","1,681.49","","-0.09%"
"03/03/2024","1,693.11","1,646.37","1,708.54","1,641.39","","2.84%"
"02/25/2024","1,646.43","1,607.42","1,649.70","1,596.65","","2.50%"
"02/18/2024","1,606.34","1,597.52","1,610.77","1,592.32","","0.56%"
"02/11/2024","1,597.45","1,603.54","1,608.32","1,578.88","","-0.33%"
"02/04/2024","1,602.66","1,613.86","1,620.30","1,599.06","","-0.68%"
"01/28/2024","1,613.57","1,589.84","1,624.10","1,587.87","","1.56%"
"01/21/2024","1,588.74","1,599.18","1,602.09","1,578.46","","-0.54%"
"01/14/2024","1,597.38","1,607.20","1,619.41","1,580.24","","-0.55%"
"01/07/2024","1,606.21","1,608.24","1,614.55","1,581.09","","-0.12%"
"12/31/2023","1,608.09","1,620.26","1,639.86","1,604.06","","-0.73%"
"12/24/2023","1,619.88","1,615.63","1,631.94","1,613.28","","0.23%"
"12/17/2023","1,616.13","1,591.98","1,626.71","1,590.89","","1.56%"
"12/10/2023","1,591.38","1,597.32","1,616.08","1,571.68","","-0.31%"
"12/03/2023","1,596.33","1,629.10","1,662.39","1,590.92","","-2.00%"
"11/26/2023","1,628.96","1,589.71","1,632.46","1,587.63","","2.58%"
"11/19/2023","1,587.98","1,589.91","1,604.73","1,575.83","","-0.03%"
"11/12/2023","1,588.45","1,585.27","1,607.56","1,569.92","","0.27%"
"11/05/2023","1,584.16","1,610.71","1,611.38","1,581.43","","-1.57%"
"10/29/2023","1,609.41","1,656.31","1,657.30","1,606.51","","-2.72%"
"10/22/2023","1,654.42","1,629.46","1,659.18","1,599.59","","1.63%"
"10/15/2023","1,627.84","1,592.47","1,643.57","1,567.24","","2.33%"
"10/08/2023","1,590.71","1,498.99","1,592.77","1,498.99","","6.28%"
"10/01/2023","1,496.73","1,515.10","1,517.56","1,489.50","","-1.20%"
"09/24/2023","1,514.89","1,572.19","1,577.66","1,513.73","","-3.66%"
"09/17/2023","1,572.45","1,553.35","1,574.94","1,551.01","","1.23%"
"09/10/2023","1,553.28","1,537.40","1,556.88","1,525.35","","0.95%"
"09/03/2023","1,538.68","1,541.19","1,544.43","1,528.92","","-0.09%"
"08/27/2023","1,540.02","1,522.60","1,542.39","1,519.44","","1.19%"
"08/20/2023","1,521.95","1,483.90","1,525.41","1,479.82","","2.65%"
"08/13/2023","1,482.68","1,508.25","1,511.56","1,478.24","","-1.60%"
"08/06/2023","1,506.79","1,523.46","1,526.73","1,499.56","","-1.08%"
"07/30/2023","1,523.28","1,525.00","1,534.76","1,515.43","","-0.07%"
"07/23/2023","1,524.31","1,525.38","1,533.43","1,511.34","","-0.05%"
"07/16/2023","1,525.06","1,494.04","1,539.19","1,488.91","","2.15%"
"07/09/2023","1,492.99","1,500.22","1,509.20","1,488.06","","-0.43%"
"07/02/2023","1,499.47","1,513.28","1,521.63","1,493.61","","-0.73%"
"06/25/2023","1,510.54","1,511.71","1,522.69","1,498.76","","0.01%"
"06/18/2023","1,510.45","1,527.30","1,532.93","1,500.06","","-1.04%"
"06/11/2023","1,526.39","1,559.81","1,567.44","1,521.84","","-2.12%"
"06/04/2023","1,559.49","1,563.67","1,586.54","1,555.72","","-0.29%"
"05/28/2023","1,564.08","1,576.96","1,594.41","1,564.11","","-0.78%"
"05/21/2023","1,576.43","1,588.79","1,601.24","1,570.67","","-0.76%"
"05/14/2023","1,588.52","1,614.88","1,620.05","1,573.08","","-1.55%"
"05/07/2023","1,613.48","1,595.44","1,620.77","1,594.43","","1.02%"
"04/30/2023","1,597.23","1,583.60","1,649.59","1,576.84","","0.87%"
"04/23/2023","1,583.41","1,594.38","1,615.04","1,580.64","","-0.71%"
"04/16/2023","1,594.74","1,614.54","1,625.61","1,587.34","","-1.18%"
"04/09/2023","1,613.80","1,616.66","1,635.69","1,602.25","","-0.21%"
"04/02/2023","1,617.15","1,597.10","1,627.36","1,583.51","","1.34%"
"03/26/2023","1,595.76","1,617.13","1,618.35","1,583.19","","-1.30%"
"03/19/2023","1,616.77","1,629.47","1,648.81","1,578.41","","-0.95%"
"03/12/2023","1,632.21","1,551.77","1,634.40","1,545.01","","5.13%"
"03/05/2023","1,552.54","1,541.19","1,555.45","1,526.23","","0.79%"
"02/26/2023","1,540.31","1,514.56","1,543.42","1,491.24","","1.61%"
"02/19/2023","1,515.96","1,528.18","1,535.08","1,510.99","","-0.87%"
"02/12/2023","1,529.32","1,544.97","1,548.79","1,514.09","","-1.10%"
"02/05/2023","1,546.40","1,549.36","1,565.80","1,531.34","","-0.05%"
"01/29/2023","1,547.25","1,555.03","1,592.67","1,541.31","","-0.45%"
"01/22/2023","1,554.17","1,553.56","1,577.77","1,545.17","","0.02%"
"01/15/2023","1,553.81","1,570.16","1,574.18","1,540.17","","-1.00%"
"01/08/2023","1,569.44","1,542.96","1,573.14","1,532.69","","1.75%"
"01/01/2023","1,542.40","1,508.33","1,555.06","1,507.39","","2.31%"
"12/25/2022","1,507.64","1,492.98","1,522.06","1,487.72","","1.15%"
"12/18/2022","1,490.57","1,475.23","1,511.09","1,466.47","","1.00%"
"12/11/2022","1,475.78","1,466.99","1,477.12","1,434.01","","0.70%"
"12/04/2022","1,465.55","1,465.74","1,473.50","1,446.46","","0.24%"
"11/27/2022","1,462.10","1,454.25","1,474.59","1,447.48","","0.72%"
"11/20/2022","1,451.72","1,471.85","1,479.31","1,442.19","","-1.33%"
"11/13/2022","1,471.36","1,500.22","1,512.54","1,468.84","","-1.64%"
"11/06/2022","1,495.82","1,487.32","1,507.52","1,451.39","","1.27%"
"10/30/2022","1,477.04","1,415.14","1,483.97","1,413.65","","4.35%"
"10/23/2022","1,415.42","1,459.46","1,469.67","1,413.74","","-3.41%"
"10/16/2022","1,465.32","1,469.18","1,473.44","1,445.07","","-0.39%"
"10/09/2022","1,471.02","1,529.10","1,536.45","1,461.72","","-3.70%"
"10/02/2022","1,527.59","1,487.99","1,538.66","1,477.74","","2.75%"
"09/25/2022","1,486.73","1,514.17","1,576.44","1,483.56","","-1.76%"
"09/18/2022","1,513.34","1,467.39","1,517.70","1,455.65","","3.15%"
"09/11/2022","1,467.11","1,480.67","1,484.31","1,447.04","","-0.92%"
"09/04/2022","1,480.80","1,486.69","1,499.10","1,473.57","","-0.42%"
"08/28/2022","1,487.12","1,479.16","1,490.55","1,464.85","","0.62%"
"08/21/2022","1,477.91","1,478.44","1,491.94","1,462.11","","0.20%"
"08/14/2022","1,474.93","1,485.48","1,486.71","1,460.05","","-0.67%"
"08/07/2022","1,484.89","1,470.41","1,488.29","1,459.74","","1.03%"
"07/31/2022","1,469.71","1,451.89","1,480.61","1,437.47","","1.30%"
"07/24/2022","1,450.89","1,439.07","1,456.69","1,420.99","","0.91%"
"07/17/2022","1,437.86","1,437.89","1,448.15","1,405.38","","-0.16%"
"07/10/2022","1,440.14","1,448.85","1,469.74","1,433.10","","-0.55%"
"07/03/2022","1,448.08","1,496.22","1,508.20","1,444.55","","-3.24%"
"06/26/2022","1,496.53","1,489.87","1,508.56","1,478.56","","0.51%"
"06/19/2022","1,489.01","1,505.40","1,509.82","1,480.29","","-1.01%"
"06/12/2022","1,504.23","1,518.24","1,529.46","1,488.29","","-0.97%"
"06/05/2022","1,519.02","1,481.51","1,523.90","1,467.33","","2.53%"
"05/29/2022","1,481.56","1,469.23","1,491.17","1,450.80","","0.89%"
"05/22/2022","1,468.47","1,479.83","1,494.24","1,459.55","","-0.65%"
"05/15/2022","1,478.09","1,480.65","1,484.42","1,448.13","","0.12%"
"05/08/2022","1,476.31","1,526.59","1,529.58","1,476.13","","-3.24%"
"05/01/2022","1,525.72","1,506.98","1,542.77","1,475.42","","1.17%"
"04/24/2022","1,508.10","1,501.17","1,530.32","1,483.88","","0.29%"
"04/17/2022","1,503.77","1,512.10","1,532.82","1,484.45","","-0.52%"
"04/10/2022","1,511.66","1,492.64","1,524.16","1,489.73","","1.21%"
"04/03/2022","1,493.66","1,468.13","1,499.16","1,460.10","","1.80%"
"03/27/2022","1,467.19","1,484.81","1,488.17","1,436.69","","-1.21%"
"03/20/2022","1,485.09","1,457.64","1,492.82","1,441.04","","1.90%"
"03/13/2022","1,457.35","1,522.99","1,527.15","1,450.65","","-4.28%"
"03/06/2022","1,522.46","1,488.55","1,580.44","1,485.54","","2.32%"
"02/27/2022","1,487.98","1,408.20","1,489.71","1,408.20","","5.70%"
"02/20/2022","1,407.68","1,396.32","1,473.91","1,384.76","","0.83%"
"02/13/2022","1,396.11","1,371.90","1,398.20","1,361.70","","1.81%"
"02/06/2022","1,371.25","1,336.16","1,377.32","1,334.41","","2.66%"
"01/30/2022","1,335.72","1,336.92","1,341.81","1,315.16","","-0.01%"
"01/23/2022","1,335.89","1,352.72","1,376.27","1,326.66","","-1.20%"
"01/16/2022","1,352.15","1,329.10","1,359.73","1,326.32","","1.77%"
"01/09/2022","1,328.67","1,321.82","1,337.99","1,318.17","","0.57%"
"01/02/2022","1,321.09","1,351.55","1,354.55","1,317.07","","-2.22%"
"12/26/2021","1,351.06","1,350.86","1,356.24","1,329.58","","0.05%"
"12/19/2021","1,350.45","1,357.48","1,366.93","1,341.99","","-0.53%"
"12/12/2021","1,357.66","1,346.91","1,365.11","1,328.19","","1.11%"
"12/05/2021","1,342.76","1,347.03","1,358.82","1,336.69","","-0.37%"
"11/28/2021","1,347.74","1,343.18","1,354.27","1,324.19","","0.35%"
"11/21/2021","1,343.09","1,371.52","1,376.38","1,331.02","","-2.05%"
"11/14/2021","1,371.18","1,389.08","1,395.99","1,369.98","","-1.31%"
"11/07/2021","1,389.32","1,346.72","1,394.71","1,340.09","","3.18%"
"10/31/2021","1,346.44","1,303.41","1,348.42","1,287.82","","3.43%"
"10/24/2021","1,301.79","1,303.53","1,315.93","1,287.48","","-0.11%"
"10/17/2021","1,303.16","1,285.38","1,317.32","1,280.35","","1.42%"
"10/10/2021","1,284.90","1,290.70","1,316.94","1,282.53","","-0.39%"
"10/03/2021","1,289.89","1,299.65","1,307.15","1,283.69","","-0.72%"
"09/26/2021","1,299.26","1,279.49","1,308.39","1,268.45","","1.55%"
"09/19/2021","1,279.46","1,276.54","1,306.91","1,266.44","","0.29%"
"09/12/2021","1,275.78","1,291.39","1,308.25","1,266.90","","-1.19%"
"09/05/2021","1,291.14","1,318.04","1,320.51","1,288.15","","-2.00%"
"08/29/2021","1,317.53","1,320.85","1,325.13","1,306.53","","-0.21%"
"08/22/2021","1,320.25","1,306.57","1,321.97","1,296.96","","1.01%"
"08/15/2021","1,307.02","1,286.03","1,313.99","1,276.61","","1.89%"
"08/08/2021","1,282.75","1,270.24","1,284.20","1,214.99","","0.93%"
"08/01/2021","1,270.87","1,305.01","1,313.81","1,267.67","","-2.56%"
"07/25/2021","1,304.27","1,310.41","1,316.86","1,293.07","","-0.46%"
"07/18/2021","1,310.34","1,314.20","1,343.77","1,302.79","","-0.38%"
"07/11/2021","1,315.32","1,301.19","1,326.49","1,290.59","","1.17%"
"07/04/2021","1,300.14","1,293.15","1,322.13","1,290.16","","0.60%"
"06/27/2021","1,292.38","1,283.02","1,302.70","1,266.10","","0.74%"
"06/20/2021","1,282.92","1,277.49","1,290.84","1,269.86","","0.49%"
"06/13/2021","1,276.62","1,329.86","1,331.66","1,267.90","","-4.04%"
"06/06/2021","1,330.42","1,334.40","1,345.14","1,325.90","","-0.39%"
"05/30/2021","1,335.66","1,342.48","1,349.88","1,316.56","","-0.41%"
"05/23/2021","1,341.12","1,328.69","1,351.81","1,321.44","","0.90%"
"05/16/2021","1,329.14","1,308.16","1,333.69","1,305.90","","1.69%"
"05/09/2021","1,306.99","1,309.75","1,309.93","1,286.78","","-0.21%"
"05/02/2021","1,309.79","1,279.52","1,320.96","1,273.70","","2.33%"
"04/25/2021","1,279.92","1,281.76","1,285.06","1,259.56","","-0.04%"
"04/18/2021","1,280.44","1,284.94","1,293.67","1,260.70","","-0.27%"
"04/11/2021","1,283.88","1,272.14","1,292.67","1,253.33","","0.99%"
"04/04/2021","1,271.31","1,250.70","1,280.28","1,240.21","","1.74%"
"03/28/2021","1,249.61","1,256.12","1,257.42","1,221.55","","-0.51%"
"03/21/2021","1,255.99","1,258.61","1,272.59","1,246.06","","-0.12%"
"03/14/2021","1,257.45","1,240.63","1,260.15","1,234.83","","1.44%"
"03/07/2021","1,239.61","1,229.49","1,247.78","1,213.20","","0.90%"
